Batch change
Module name, Device, Current value, Display format, Comment
Global,R1801,-,1-bit BIN,
Global,R1802,-,1-bit BIN,
Global,R1803,-,1-bit BIN,
Global,R1804,-,1-bit BIN,
Global,R1805,-,1-bit BIN,
Global,R1806,-,1-bit BIN,
Global,R1807,-,1-bit BIN,
Global,R1808,-,1-bit BIN,
Global,R1809,-,1-bit BIN,
Global,R1810,-,1-bit BIN,
Global,R1811,-,1-bit BIN,
Global,R1812,-,1-bit BIN,
Global,R1813,-,1-bit BIN,
Global,R1814,-,1-bit BIN,
Global,R1815,-,1-bit BIN,
Global,R1900,-,1-bit BIN,
Global,R1901,-,1-bit BIN,
Global,R1902,-,1-bit BIN,
Global,R1903,-,1-bit BIN,
Global,R1904,-,1-bit BIN,
Global,R1905,-,1-bit BIN,
Global,R1906,-,1-bit BIN,
Global,R1907,-,1-bit BIN,
Global,R1908,-,1-bit BIN,
Global,R1909,-,1-bit BIN,
Global,R1910,-,1-bit BIN,
Global,R1911,-,1-bit BIN,
Global,R1912,-,1-bit BIN,
Global,R1913,-,1-bit BIN,
Global,R1914,-,1-bit BIN,
Global,R1915,-,1-bit BIN,
Global,R2000,-,1-bit BIN,
Global,R2001,-,1-bit BIN,
Global,R2002,-,1-bit BIN,
Global,R2003,-,1-bit BIN,
Global,R2004,-,1-bit BIN,
Global,R2005,-,1-bit BIN,
Global,R2006,-,1-bit BIN,
Global,R2007,-,1-bit BIN,
Global,R2008,-,1-bit BIN,
Global,R2009,-,1-bit BIN,
Global,R2010,-,1-bit BIN,
Global,R2011,-,1-bit BIN,
Global,R2012,-,1-bit BIN,
Global,R2013,-,1-bit BIN,
Global,R2014,-,1-bit BIN,
Global,R2015,-,1-bit BIN,
Global,R2100,-,1-bit BIN,
Global,R2101,-,1-bit BIN,
Global,R2102,-,1-bit BIN,
Global,R2103,-,1-bit BIN,
Global,R2104,-,1-bit BIN,
Global,R2105,-,1-bit BIN,
Global,R2106,-,1-bit BIN,
Global,R2107,-,1-bit BIN,
Global,R2108,-,1-bit BIN,
Global,R2109,-,1-bit BIN,
Global,R2110,-,1-bit BIN,
